ship,type,time,zone,length,breath,dwt,h_s,t_p,dir,h_sm,h_0,wind_speed,wind_dir,mov_avg,mov_sig
Norman,Bulkcarrier,05/04/2021 10:00,6,"90,0","14,0",4536,"1,00","6,30",12,"0,07","2,91","11,73",125,"0,01","0,03"
Norman,Bulkcarrier,05/04/2021 11:00,6,"90,0","14,0",4536,"1,30","6,70",17,"0,08","2,74","24,97",63,"0,03","0,05"
Norman,Bulkcarrier,05/04/2021 19:00,6,"90,0","14,0",4536,"1,60","6,30",22,"0,10","2,39","28,58",5,"0,01","0,02"
Norman,Bulkcarrier,05/04/2021 20:00,6,"90,0","14,0",4536,"1,40","5,70",18,"0,10","2,73","27,87",13,"0,03","0,04"
Norman,Bulkcarrier,05/04/2021 21:00,6,"90,0","14,0",4536,"1,30","5,70",19,"0,09","2,98","33,03",15,"0,02","0,03"
Norman,Bulkcarrier,05/04/2021 22:00,6,"90,0","14,0",4536,"1,30","6,10",16,"0,09","3,09","37,25",18,"0,02","0,03"
Norman,Bulkcarrier,05/04/2021 23:00,6,"90,0","14,0",4536,"1,30","5,70",16,"0,09","3,02","34,88",22,"0,02","0,03"
Dominica,General Cargo,01/05/2021 8:00,5,"127,3","21,2",13022,"0,80","9,10",329,"0,10","2,83","5,48",122,"0,13","0,21"
Dominica,General Cargo,01/05/2021 9:00,5,"127,3","21,2",13022,"0,80","8,00",335,"0,09","2,13","12,27",341,"0,22","0,38"
Dominica,General Cargo,01/05/2021 10:00,5,"127,3","21,2",13022,"0,80","8,30",335,"0,11","1,49","7,38",348,"0,32","0,37"
Dominica,General Cargo,01/05/2021 11:00,5,"127,3","21,2",13022,"0,80","8,70",340,"0,09","1,07","8,65",298,"0,17","0,26"
Dominica,General Cargo,01/05/2021 12:00,5,"127,3","21,2",13022,"0,80","7,70",337,"0,09","0,98","10,97",353,"0,19","0,28"
Dominica,General Cargo,01/05/2021 13:00,5,"127,3","21,2",13022,"0,80","8,30",335,"0,08","1,24","14,20",346,"0,19","0,25"
Dominica,General Cargo,01/05/2021 14:00,5,"127,3","21,2",13022,"0,80","7,40",339,"0,09","1,75","15,55",343,"0,21","0,32"
Dominica,General Cargo,01/05/2021 15:00,5,"127,3","21,2",13022,"0,80","7,10",342,"0,09","2,40","15,92",347,"0,11","0,20"
