ship,type,time,zone,length,breath,dwt,h_s,t_p,dir,h_sm,h_0,wind_speed,wind_dir,mov_avg,mov_sig
Wilson Drogheda,General Cargo,29/09/2021 21:00,5,"88,0","13,0",3690,"2,02","9,89",326,"0,21","2,63","6,02",182,"0,33","0,51"
Wilson Drogheda,General Cargo,29/09/2021 22:00,5,"88,0","13,0",3690,"2,00","9,32",324,"0,20","2,56","5,15",163,"0,29","0,47"
Wilson Drogheda,General Cargo,29/09/2021 23:00,5,"88,0","13,0",3690,"1,95","8,64",324,"0,20","2,39","6,75",138,"0,35","0,59"
Geneva Star,Bulk carrier,07/10/2021 21:00,5,"229,0","32,0",81846,"2,05","17,27",311,"0,19","0,34","4,27",221,"0,38","0,59"
Geneva Star,Bulk carrier,08/10/2021 21:00,5,"229,0","32,0",81846,"1,66","12,77",316,"0,18","0,67","6,32",104,"0,41","0,58"
Geneva Star,Bulk carrier,08/10/2021 23:00,5,"229,0","32,0",81846,"1,76","12,58",320,"0,19","0,65","3,05",184,"0,38","0,55"
Arklow Flair,Container,10/10/2021 21:00,4,"90,0","14,0",5941,"1,09","6,14",343,"0,10","1,88","21,78",33,"0,39","0,50"
Arklow Flair,Container,10/10/2021 22:00,4,"90,0","14,0",5941,"1,06","6,51",345,"0,11","1,22","23,43",29,"0,21","0,28"
Arklow Flair,Container,10/10/2021 23:00,4,"90,0","14,0",5941,"1,05","6,60",344,"0,10","0,86","13,37",72,"0,11","0,15"
Don Juan,Bulk carrier,13/10/2021 15:00,5,"158,0","23,0",21057,"0,94","6,27",339,"0,08","1,46","20,28",9,"0,44","0,48"
Don Juan,Bulk carrier,13/10/2021 21:00,5,"158,0","23,0",21057,"0,74","11,33",333,"0,08","3,00","8,52",126,"0,11","0,13"
Don Juan,Bulk carrier,13/10/2021 22:00,5,"158,0","23,0",21057,"0,65","11,68",332,"0,08","2,92","8,67",128,"0,12","0,14"
Don Juan,Bulk carrier,13/10/2021 23:00,5,"158,0","23,0",21057,"0,61","11,10",332,"0,08","2,68","7,43",132,"0,13","0,16"
Don Juan,Bulk carrier,14/10/2021 21:00,5,"158,0","23,0",21057,"0,63","10,23",317,"0,08","2,78","11,33",123,"0,14","0,19"
Don Juan,Bulk carrier,14/10/2021 22:00,5,"158,0","23,0",21057,"0,64","10,99",313,"0,10","2,98","9,63",120,"0,17","0,24"
