ship,type,time,zone,length,breath,dwt,h_s,t_p,dir,h_sm,h_0,wind_speed,wind_dir,mov_avg,mov_sig
Geneva Star,Bulkcarrier,07/10/2021 21:00,5,"229,0","32,0",81846,"2,05","17,27",311,"0,19","0,34","4,27",221,"0,07","0,14"
Geneva Star,Bulkcarrier,07/10/2021 22:00,5,"229,0","32,0",81846,"2,50","16,89",312,"0,21","0,41","3,85",209,"0,21","0,35"
Geneva Star,Bulkcarrier,07/10/2021 23:00,5,"229,0","32,0",81846,"2,75","15,64",311,"0,23","0,94","7,28",131,"0,21","0,39"
Geneva Star,Bulkcarrier,08/10/2021 21:00,5,"229,0","32,0",81846,"1,66","12,77",316,"0,18","0,67","6,32",104,"0,13","0,23"
Geneva Star,Bulkcarrier,08/10/2021 22:00,5,"229,0","32,0",81846,"2,06","11,55",320,"0,17","0,42","5,82",174,"0,19","0,34"
Geneva Star,Bulkcarrier,08/10/2021 23:00,5,"229,0","32,0",81846,"1,76","12,58",320,"0,19","0,65","3,05",184,"0,13","0,24"
One Energy,Bulkcarrier,01/12/2021 0:00,4,"229,0","32,0",81076,"1,60","8,30",294,"0,18","3,41","23,40",205,"0,02","0,04"
One Energy,Bulkcarrier,01/12/2021 1:00,4,"229,0","32,0",81076,"1,60","8,30",342,"0,18","3,22","23,37",203,"0,03","0,04"
One Energy,Bulkcarrier,01/12/2021 2:00,4,"229,0","32,0",81076,"1,40","8,30",315,"0,17","2,78","17,60",224,"0,02","0,03"
One Energy,Bulkcarrier,01/12/2021 3:00,4,"229,0","32,0",81076,"1,50","9,10",316,"0,16","2,20","15,63",216,"0,02","0,04"
One Energy,Bulkcarrier,01/12/2021 4:00,4,"229,0","32,0",81076,"1,40","9,10",310,"0,16","1,63","18,83",239,"0,02","0,04"
One Energy,Bulkcarrier,01/12/2021 5:00,4,"229,0","32,0",81076,"1,40","8,70",337,"0,16","1,23","22,45",229,"0,03","0,05"
One Energy,Bulkcarrier,01/12/2021 6:00,4,"229,0","32,0",81076,"1,60","9,10",315,"0,15","1,13","23,00",240,"0,02","0,04"
